"phrase_id","target_phoneme","target_word_indexes","target_syllable_indexes","phonetic_variant","text","cmu_phonetics","pronounciation_guide","syllable_parts","stress_category","words","syllabified_words","cmu","gibberish","audio_id","audio_file_url","gender"
"rzcsmkctyr","null","[6]","[0]","null","Not really, can I call you *back*?","N_AA1_T R_IH1|L_IY0 K_AE1_N AY1 K_AO1_L Y_UW1 B_AE1_K","n_o_t r_i|l_ee k_a_n ay k_aw_l y_oo b_a_k","Not real|ly can I call you back","HIGHLIGHT","[""Not"",""really,"",""can"",""I"",""call"",""you"",""*back*?""]","[""Not"",""real|ly"",""can"",""I"",""call"",""you"",""back""]","[""N_AA1_T"",""R_IH1|L_IY0"",""K_AE1_N"",""AY1"",""K_AO1_L"",""Y_UW1"",""B_AE1_K""]","[""n_o_t"",""r_i|l_ee"",""k_a_n"",""ay"",""k_aw_l"",""y_oo"",""b_a_k""]","IY2F6ZLOFVDUEX3UGFPTCMJS","F4/rzcsmkctyr__F4_en-GB_t1_112.mp3","FEMALE"
"yhnghgzvvg","null","[5]","[0]","null","Can I leave her a *message*?","K_AE1_N AY1 L_IY1_V HH_ER1 AH0 M_EH1|S_AH0_JH","k_a_n ay l_ee_v h_uhr uh m_e|s_uh_dj","Can I leave her a mes|sage","HIGHLIGHT","[""Can"",""I"",""leave"",""her"",""a"",""*message*?""]","[""Can"",""I"",""leave"",""her"",""a"",""mes|sage""]","[""K_AE1_N"",""AY1"",""L_IY1_V"",""HH_ER1"",""AH0"",""M_EH1|S_AH0_JH""]","[""k_a_n"",""ay"",""l_ee_v"",""h_uhr"",""uh"",""m_e|s_uh_dj""]","IY2F6ZLOFVDUEX3UGFPTCMJU","F4/yhnghgzvvg__F4_en-GB_t1_114.mp3","FEMALE"
"jsbwjcgrfn","null","[4]","[0]","null","The meeting is on *Tuesday*.","DH_AH0 M_IY1|T_IH0_NG IH1_Z AA1_N T_Y_UW1_Z|D_EY2","th_uh m_ee|t_i_ng i_z o_n t_oo_z|d_ey","The meet|ing is on Tues|day","HIGHLIGHT","[""The"",""meeting"",""is"",""on"",""*Tuesday*.""]","[""The"",""meet|ing"",""is"",""on"",""Tues|day""]","[""DH_AH0"",""M_IY1|T_IH0_NG"",""IH1_Z"",""AA1_N"",""T_Y_UW1_Z|D_EY2""]","[""th_uh"",""m_ee|t_i_ng"",""i_z"",""o_n"",""t_oo_z|d_ey""]","IY2F6ZLOFVDUEX3UGFPTCMQ","F4/jsbwjcgrfn__F4_en-GB_t1_12.mp3","FEMALE"
"htebkfykrs","null","[4]","[0]","null","Congrats! Your hard work *finally* paid off!","K_AH0_N|G_R_AE1_T_S Y_AO1_R HH_AA1_R_D W_ER1_K F_AY1|N_AH0|L_IY0 P_EY1_D AO1_F","k_uh_n|g_r_a_t_s y_aw_r h_o_r_d w_uhr_k f_ay|n_uh|l_ee p_ey_d aw_f","Con|grats Your hard work fi|nal|ly paid off","EMOTION","[""Congrats!"",""Your"",""hard"",""work"",""*finally*"",""paid"",""off!""]","[""Con|grats"",""Your"",""hard"",""work"",""fi|nal|ly"",""paid"",""off""]","[""K_AH0_N|G_R_AE1_T_S"",""Y_AO1_R"",""HH_AA1_R_D"",""W_ER1_K"",""F_AY1|N_AH0|L_IY0"",""P_EY1_D"",""AO1_F""]","[""k_uh_n|g_r_a_t_s"",""y_aw_r"",""h_o_r_d"",""w_uhr_k"",""f_ay|n_uh|l_ee"",""p_ey_d"",""aw_f""]","IY2F6ZLOFVDUEX3UGFPTCNQ","F4/htebkfykrs__F4_en-GB_t1_16.mp3","FEMALE"
"exytchxjjh","null","[2]","[0]","null","I would *love* to!","AY1 W_UH1_D L_AH1_V T_UW1","ay w_u_d l_uh_v t_oo","I would love to","EMOTION","[""I"",""would"",""*love*"",""to!""]","[""I"",""would"",""love"",""to""]","[""AY1"",""W_UH1_D"",""L_AH1_V"",""T_UW1""]","[""ay"",""w_u_d"",""l_uh_v"",""t_oo""]","IY2F6ZLOFVDUEX3UGFPTCOA","F4/exytchxjjh__F4_en-GB_t1_18.mp3","FEMALE"
"exytchxjjh","null","[2]","null","null","I would *love* to!","AY1 W_UH1_D L_AH1_V T_UW1","ay w_u_d l_uh_v t_oo","I would love to","EMOTION","[""I"",""would"",""*love*"",""to!""]","[""I"",""would"",""love"",""to""]","[""AY1"",""W_UH1_D"",""L_AH1_V"",""T_UW1""]","[""ay"",""w_u_d"",""l_uh_v"",""t_oo""]","IY2F6ZLOFVDUEX3UGFPTCOA","F4/exytchxjjh__F4_en-GB_t1_18.mp3","FEMALE"
"gvnhcsrmmn","null","[4]","[0]","null","No, I commute by *train*.","N_OW1 AY1 K_AH0_M|Y_UW1_T B_AY1 T_R_EY1_N","n_ow ay k_uh_m|y_oo_t b_ay t_r_ey_n","No I com|mute by train","CORRECTION","[""No,"",""I"",""commute"",""by"",""*train*.""]","[""No"",""I"",""com|mute"",""by"",""train""]","[""N_OW1"",""AY1"",""K_AH0_M|Y_UW1_T"",""B_AY1"",""T_R_EY1_N""]","[""n_ow"",""ay"",""k_uh_m|y_oo_t"",""b_ay"",""t_r_ey_n""]","IY2F6ZLOFVDUEX3UGFPTE","F4/gvnhcsrmmn__F4_en-GB_t1_2.mp3","FEMALE"
"hezyyfjfrb","null","[1]","[0]","null","I *just* sent you a message.","AY1 JH_AH1_S_T S_EH1_N_T Y_UW1 AH0 M_EH1|S_AH0_JH","ay dj_uh_s_t s_e_n_t y_oo uh m_e|s_uh_dj","I just sent you a mes|sage","EMOTION","[""I"",""*just*"",""sent"",""you"",""a"",""message.""]","[""I"",""just"",""sent"",""you"",""a"",""mes|sage""]","[""AY1"",""JH_AH1_S_T"",""S_EH1_N_T"",""Y_UW1"",""AH0"",""M_EH1|S_AH0_JH""]","[""ay"",""dj_uh_s_t"",""s_e_n_t"",""y_oo"",""uh"",""m_e|s_uh_dj""]","IY2F6ZLOFVDUEX3UGFPTEMA","F4/hezyyfjfrb__F4_en-GB_t1_20.mp3","FEMALE"
"fmfsysxnbn","null","[1]","[0]","null","I'm *on* it!","AY1_M AA1_N IH1_T","ay_m o_n i_t","I'm on it","EMOTION","[""I''m"",""*on*"",""it!""]","[""I''m"",""on"",""it""]","[""AY1_M"",""AA1_N"",""IH1_T""]","[""ay_m"",""o_n"",""i_t""]","IY2F6ZLOFVDUEX3UGFPTEMQ","F4/fmfsysxnbn__F4_en-GB_t1_22.mp3","FEMALE"
"chwfxgjkmx","null","[4]","[0]","null","No, but I'm free *tomorrow*?","N_OW1 B_AH1_T AY1_M F_R_IY1 T_AH0|M_AA1|R_OW2","n_ow b_uh_t ay_m f_r_ee t_uh|m_o|r_ow","No but I'm free to|mor|row","HIGHLIGHT","[""No,"",""but"",""I''m"",""free"",""*tomorrow*?""]","[""No"",""but"",""I''m"",""free"",""to|mor|row""]","[""N_OW1"",""B_AH1_T"",""AY1_M"",""F_R_IY1"",""T_AH0|M_AA1|R_OW2""]","[""n_ow"",""b_uh_t"",""ay_m"",""f_r_ee"",""t_uh|m_o|r_ow""]","IY2F6ZLOFVDUEX3UGFPTENA","F4/chwfxgjkmx__F4_en-GB_t1_24.mp3","FEMALE"
"chwfxgjkmx","null","[4]","null","null","No, but I'm free *tomorrow*?","N_OW1 B_AH1_T AY1_M F_R_IY1 T_AH0|M_AA1|R_OW2","n_ow b_uh_t ay_m f_r_ee t_uh|m_o|r_ow","No but I'm free to|mor|row","HIGHLIGHT","[""No,"",""but"",""I''m"",""free"",""*tomorrow*?""]","[""No"",""but"",""I''m"",""free"",""to|mor|row""]","[""N_OW1"",""B_AH1_T"",""AY1_M"",""F_R_IY1"",""T_AH0|M_AA1|R_OW2""]","[""n_ow"",""b_uh_t"",""ay_m"",""f_r_ee"",""t_uh|m_o|r_ow""]","IY2F6ZLOFVDUEX3UGFPTENA","F4/chwfxgjkmx__F4_en-GB_t1_24.mp3","FEMALE"
"bvgueuncuu","null","[6]","[0]","null","I'm sorry, can you repeat more *slowly*?","AY1_M S_AA1|R_IY0 K_AE1_N Y_UW1 R_IH0|P_IY1_T M_AO1_R S_L_OW1|L_IY0","ay_m s_o|r_ee k_a_n y_oo r_i|p_ee_t m_aw_r s_l_ow|l_ee","I'm sor|ry can you re|peat more slow|ly","HIGHLIGHT","[""I''m"",""sorry,"",""can"",""you"",""repeat"",""more"",""*slowly*?""]","[""I''m"",""sor|ry"",""can"",""you"",""re|peat"",""more"",""slow|ly""]","[""AY1_M"",""S_AA1|R_IY0"",""K_AE1_N"",""Y_UW1"",""R_IH0|P_IY1_T"",""M_AO1_R"",""S_L_OW1|L_IY0""]","[""ay_m"",""s_o|r_ee"",""k_a_n"",""y_oo"",""r_i|p_ee_t"",""m_aw_r"",""s_l_ow|l_ee""]","IY2F6ZLOFVDUEX3UGFPTENQ","F4/bvgueuncuu__F4_en-GB_t1_26.mp3","FEMALE"
"xxzrkxkcqy","null","[2]","[0]","null","Can you *spell* that?","K_AE1_N Y_UW1 S_P_EH1_L DH_AE1_T","k_a_n y_oo s_p_e_l th_a_t","Can you spell that","HIGHLIGHT","[""Can"",""you"",""*spell*"",""that?""]","[""Can"",""you"",""spell"",""that""]","[""K_AE1_N"",""Y_UW1"",""S_P_EH1_L"",""DH_AE1_T""]","[""k_a_n"",""y_oo"",""s_p_e_l"",""th_a_t""]","IY2F6ZLOFVDUEX3UGFPTEOA","F4/xxzrkxkcqy__F4_en-GB_t1_28.mp3","FEMALE"
"xxzrkxkcqy","null","[2]","null","null","Can you *spell* that?","K_AE1_N Y_UW1 S_P_EH1_L DH_AE1_T","k_a_n y_oo s_p_e_l th_a_t","Can you spell that","HIGHLIGHT","[""Can"",""you"",""*spell*"",""that?""]","[""Can"",""you"",""spell"",""that""]","[""K_AE1_N"",""Y_UW1"",""S_P_EH1_L"",""DH_AE1_T""]","[""k_a_n"",""y_oo"",""s_p_e_l"",""th_a_t""]","IY2F6ZLOFVDUEX3UGFPTEOA","F4/xxzrkxkcqy__F4_en-GB_t1_28.mp3","FEMALE"
"fqevrhfbwk","null","[3]","[0]","null","That's on Monday, *right*?","DH_AE1_T_S AA1_N M_AH1_N|D_EY2 R_AY1_T","th_a_t_s o_n m_uh_n|d_ey r_ay_t","That's on Mon|day right","EMOTION","[""That''s"",""on"",""Monday,"",""*right*?""]","[""That''s"",""on"",""Mon|day"",""right""]","[""DH_AE1_T_S"",""AA1_N"",""M_AH1_N|D_EY2''"",""R_AY1_T""]","[""th_a_t_s"",""o_n"",""m_uh_n|d_ey"",""r_ay_t""]","IY2F6ZLOFVDUEX3UGFPTGMA","F4/fqevrhfbwk__F4_en-GB_t1_30.mp3","FEMALE"
"fqevrhfbwk","null","[3]","null","null","That's on Monday, *right*?","DH_AE1_T_S AA1_N M_AH1_N|D_EY2 R_AY1_T","th_a_t_s o_n m_uh_n|d_ey r_ay_t","That's on Mon|day right","EMOTION","[""That''s"",""on"",""Monday,"",""*right*?""]","[""That''s"",""on"",""Mon|day"",""right""]","[""DH_AE1_T_S"",""AA1_N"",""M_AH1_N|D_EY2''"",""R_AY1_T""]","[""th_a_t_s"",""o_n"",""m_uh_n|d_ey"",""r_ay_t""]","IY2F6ZLOFVDUEX3UGFPTGMA","F4/fqevrhfbwk__F4_en-GB_t1_30.mp3","FEMALE"
"cabbbnvckn","null","[4]","[0]","null","I'm looking for my *ID* badge.","AY1_M L_UH1|K_IH0_NG F_AO1_R M_AY1 AY1|D_IY1 B_AE1_JH","ay_m l_u|k_i_ng f_aw_r m_ay ay|d_ee b_a_dj","I'm loo|king for my I|D badge","HIGHLIGHT","[""I''m"",""looking"",""for"",""my"",""*ID*"",""badge.""]","[""I''m"",""loo|king"",""for"",""my"",""I|D"",""badge""]","[""AY1_M"",""L_UH1|K_IH0_NG"",""F_AO1_R"",""M_AY1"",""AY1|D_IY1"",""B_AE1_JH""]","[""ay_m"",""l_u|k_i_ng"",""f_aw_r"",""m_ay"",""ay|d_ee"",""b_a_dj""]","IY2F6ZLOFVDUEX3UGFPTGMQ","F4/cabbbnvckn__F4_en-GB_t1_32.mp3","FEMALE"
"rjwmjujbgc","null","[1]","[0]","null","Thanks *Polly*, I'll have a look.","TH_AE1_NG_K_S P_AA1|L_IY0 AY1_L HH_AE1_V AH0 L_UH1_K","th_a_ng_k_s p_o|l_ee ay_l h_a_v uh l_u_k","Thanks Pol|ly I'll have a look","HIGHLIGHT","[""Thanks"",""*Polly*,"",""I''ll"",""have"",""a"",""look.""]","[""Thanks"",""Pol|ly"",""I''ll"",""have"",""a"",""look""]","[""TH_AE1_NG_K_S"",""P_AA1|L_IY0"",""AY1_L"",""HH_AE1_V"",""AH0"",""L_UH1_K""]","[""th_a_ng_k_s"",""p_o|l_ee"",""ay_l"",""h_a_v"",""uh"",""l_u_k""]","IY2F6ZLOFVDUEX3UGFPTGNA","F4/rjwmjujbgc__F4_en-GB_t1_34.mp3","FEMALE"
"bhktctmxgs","null","[5]","[0]","null","Yes, how I can help *you*?","Y_EH1_S HH_AW1 AY1 K_AE1_N HH_EH1_L_P Y_UW1","y_e_s h_au ay k_a_n h_e_l_p y_oo","Yes how I can help you","HIGHLIGHT","[""Yes,"",""how"",""I"",""can"",""help"",""*you*?""]","[""Yes"",""how"",""I"",""can"",""help"",""you""]","[""Y_EH1_S"",""HH_AW1"",""AY1"",""K_AE1_N"",""HH_EH1_L_P"",""Y_UW1""]","[""y_e_s"",""h_au"",""ay"",""k_a_n"",""h_e_l_p"",""y_oo""]","IY2F6ZLOFVDUEX3UGFPTGNQ","F4/bhktctmxgs__F4_en-GB_t1_36.mp3","FEMALE"
"aqtshjgctw","null","[4]","[0]","null","No, I'm working from *home*.","N_OW1 AY1_M W_ER1|K_IH0_NG F_R_AH1_M HH_OW1_M","n_ow ay_m w_uhr|k_i_ng f_r_uh_m h_ow_m","No I'm work|ing from home","CORRECTION","[""No,"",""I''m"",""working"",""from"",""*home*.""]","[""No"",""I''m"",""work|ing"",""from"",""home""]","[""N_OW1"",""AY1_M"",""W_ER1|K_IH0_NG"",""F_R_AH1_M"",""HH_OW1_M""]","[""n_ow"",""ay_m"",""w_uhr|k_i_ng"",""f_r_uh_m"",""h_ow_m""]","IY2F6ZLOFVDUEX3UGFPTGOA","F4/aqtshjgctw__F4_en-GB_t1_38.mp3","FEMALE"
"hhkxqvxxqf","null","[5]","[0]","null","I am applying for the *Analyst* role.","AY1 AE1_M AH0|P_L_AY1|IH0_NG F_AO1_R DH_IY0 AE1|N_AH0|L_IH0_S_T R_OW1_L","ay a_m uh|p_l_ay|i_ng f_aw_r th_ee a|n_uh|l_i_s_t r_ow_l","I am ap|ply|ing for the An|a|lyst role","HIGHLIGHT","[""I"",""am"",""applying"",""for"",""the"",""*Analyst*"",""role.""]","[""I"",""am"",""ap|ply|ing"",""for"",""the"",""An|a|lyst"",""role""]","[""AY1"",""AE1_M"",""AH0|P_L_AY1|IH0_NG"",""F_AO1_R"",""DH_IY0"",""AE1|N_AH0|L_IH0_S_T"",""R_OW1_L""]","[""ay"",""a_m"",""uh|p_l_ay|i_ng"",""f_aw_r"",""th_ee"",""a|n_uh|l_i_s_t"",""r_ow_l""]","IY2F6ZLOFVDUEX3UGFPTI","F4/hhkxqvxxqf__F4_en-GB_t1_4.mp3","FEMALE"
"cmhkgtuwfj","null","[5]","[0]","null","We increased our margins by *half*!","W_IY1 IH2_N|K_R_IY1_S_T AW1_R M_AA1_R|JH_AH0_N_Z B_AY1 HH_AE1_F","w_ee i_n|k_r_ee_s_t au_r m_o_r|dj_uh_n_z b_ay h_a_f","We in|creased our mar|gins by half","HIGHLIGHT","[""We"",""increased"",""our"",""margins"",""by"",""*half*!""]","[""We"",""in|creased"",""our"",""mar|gins"",""by"",""half""]","[""W_IY1"",""IH2_N|K_R_IY1_S_T"",""AW1_R"",""M_AA1_R|JH_AH0_N_Z"",""B_AY1"",""HH_AE1_F""]","[""w_ee"",""i_n|k_r_ee_s_t"",""au_r"",""m_o_r|dj_uh_n_z"",""b_ay"",""h_a_f""]","IY2F6ZLOFVDUEX3UGFPTIMA","F4/cmhkgtuwfj__F4_en-GB_t1_40.mp3","FEMALE"
"ygxxybtycx","null","[4]","[0]","null","The printer on the *left*.","DH_AH0 P_R_IH1_N|T_ER0 AA1_N DH_AH0 L_EH1_F_T","th_uh p_r_i_n|t_uhr o_n th_uh l_e_f_t","The print|er on the left","HIGHLIGHT","[""The"",""printer"",""on"",""the"",""*left*.""]","[""The"",""print|er"",""on"",""the"",""left""]","[""DH_AH0"",""P_R_IH1_N|T_ER0"",""AA1_N"",""DH_AH0"",""L_EH1_F_T""]","[""th_uh"",""p_r_i_n|t_uhr"",""o_n"",""th_uh"",""l_e_f_t""]","IY2F6ZLOFVDUEX3UGFPTIMQ","F4/ygxxybtycx__F4_en-GB_t1_42.mp3","FEMALE"
"teqtnhsnvg","null","[1]","[0]","null","That's *amazing*, well done!","DH_AE1_T_S AH0|M_EY1|Z_IH0_NG W_EH1_L D_AH1_N","th_a_t_s uh|m_ey|z_i_ng w_e_l d_uh_n","That's a|maz|ing well done","EMOTION","[""That''s"",""*amazing*,"",""well"",""done!""]","[""That''s"",""a|maz|ing"",""well"",""done""]","[""DH_AE1_T_S"",""AH0|M_EY1|Z_IH0_NG"",""W_EH1_L"",""D_AH1_N""]","[""th_a_t_s"",""uh|m_ey|z_i_ng"",""w_e_l"",""d_uh_n""]","IY2F6ZLOFVDUEX3UGFPTINA","F4/teqtnhsnvg__F4_en-GB_t1_44.mp3","FEMALE"
"msvybfqyaq","null","[1]","[0]","null","I'm *almost* there. Sorry for running late!","AY1_M AO1_L|M_OW2_S_T DH_EH1_R S_AA1|R_IY0 F_AO1_R R_AH1|N_IH0_NG L_EY1_T","ay_m aw_l|m_ow_s_t th_e_r s_o|r_ee f_aw_r r_uh|n_i_ng l_ey_t","I'm al|most there Sor|ry for run|ning late","EMOTION","[""I''m"",""*almost*"",""there."",""Sorry"",""for"",""running"",""late!""]","[""I''m"",""al|most"",""there"",""Sor|ry"",""for"",""run|ning"",""late""]","[""AY1_M"",""AO1_L|M_OW2_S_T"",""DH_EH1_R"",""S_AA1|R_IY0"",""F_AO1_R"",""R_AH1|N_IH0_NG"",""L_EY1_T""]","[""ay_m"",""aw_l|m_ow_s_t"",""th_e_r"",""s_o|r_ee"",""f_aw_r"",""r_uh|n_i_ng"",""l_ey_t""]","IY2F6ZLOFVDUEX3UGFPTINQ","F4/msvybfqyaq__F4_en-GB_t1_46.mp3","FEMALE"
"msvybfqyaq","null","[1]","null","null","I'm *almost* there. Sorry for running late!","AY1_M AO1_L|M_OW2_S_T DH_EH1_R S_AA1|R_IY0 F_AO1_R R_AH1|N_IH0_NG L_EY1_T","ay_m aw_l|m_ow_s_t th_e_r s_o|r_ee f_aw_r r_uh|n_i_ng l_ey_t","I'm al|most there Sor|ry for run|ning late","EMOTION","[""I''m"",""*almost*"",""there."",""Sorry"",""for"",""running"",""late!""]","[""I''m"",""al|most"",""there"",""Sor|ry"",""for"",""run|ning"",""late""]","[""AY1_M"",""AO1_L|M_OW2_S_T"",""DH_EH1_R"",""S_AA1|R_IY0"",""F_AO1_R"",""R_AH1|N_IH0_NG"",""L_EY1_T""]","[""ay_m"",""aw_l|m_ow_s_t"",""th_e_r"",""s_o|r_ee"",""f_aw_r"",""r_uh|n_i_ng"",""l_ey_t""]","IY2F6ZLOFVDUEX3UGFPTINQ","F4/msvybfqyaq__F4_en-GB_t1_46.mp3","FEMALE"
