FW correction,FW highlight,FW emotion,VC1,VC2,-ED
,"11. {""question"": ""Which *printer* ran out of paper?"", ""answer"": ""The printer on the *left*."", ""stress_category"": ""Highlight""}","11. {""question"": ""How are we doing time-wise?"", ""answer"": ""Well, we're running *ahead* of schedule!"", ""stress_category"": ""Emotion""}","11. {""question"": ""If you don't mind, I'll start. "", ""answer"": ""No problem for *me*, go ahead. ""}","11. {""question"": ""Can I take a look?"", ""answer"": ""Sure, come here so I can *show* you.""}","11. {""question"": ""Good morning Mr Miller, this is Tom from Wordwise. Is now a good time to chat?"", ""answer"": ""Good morning Tom. Yes, my next meeting just got *cancelled* so I'm free. ""}"
,"12. {""question"": ""Why do *you* like being an entrepreneur?"", ""answer"": ""I like having *diverse* responsibilities."", ""stress_category"": ""Highlight""}","12. {""question"": ""I'm feeling *overwhelmed* with this project."", ""answer"": ""You *might* want to tell your boss about it."", ""stress_category"": ""Emotion""}","12. {""question"": ""I don't have much negative feedback, except for the mental health situation at work. "", ""answer"": ""Okay, would you mind telling a bit more about it *please*? ""}","12. {""question"": ""Wow, those photos look amazing. Did you take them?"", ""answer"": ""I did! Thank you. I just *bought* a new camera.""}","12. {""question"": ""Perfect! I'm calling to follow up on your request for an appointment at our head office."", ""answer"": ""Of course, I'm still *interested* in meeting you and I'd be happy to set a time together. ""}"
,"13. {""question"": ""What is a *Digital Nomad*?"", ""answer"": ""Someone who can work from *anywhere*."", ""stress_category"": ""Highlight""}","13. {""question"": ""My next meeting starts in a minute. I have to go!"", ""answer"": ""No worries. It was a *pleasure* to meet you!"", ""stress_category"": ""Emotion""}","13. {""question"": ""Yes, we never acknowledge hard or good times and their impact on our performance. I think mental health talks should be implemented. "", ""answer"": ""I see what you *mean*, and why is it important to you? ""}","13. {""question"": ""You're a great photographer. Where was the boat factory located?"", ""answer"": ""I travelled to the Gold *Coast* for the day. The factory was in Broadbeach.""}","13. {""question"": ""Amazing, would next Thursday the 16th at 2 PM work for you? "", ""answer"": ""Mmh let me see, I'm free next Thursday but 1 PM would have *worked* better. Would you mind? ""}"
,"14. {""question"": ""Who is *Andre*?"", ""answer"": ""He's our *payroll* accountant."", ""stress_category"": ""Highlight""}","14. {""question"": ""Can you turn your camera *on* for the meeting?"", ""answer"": ""I'm *sorry* but my wifi isn't great."", ""stress_category"": ""Emotion""}","14. {""question"": ""Because opening up about our mental health helps us feel better and closer to each other. This in turn helps us be better employees."", ""answer"": ""You're right. I *agree* that the company should find ways to address the personnel's mental health.""}","14. {""question"": ""Well, congratulations. You're off to a great start!"", ""answer"": ""Cheers! I'm already learning *loads*!""}","14. {""question"": ""No worries, 1 PM sounds great."", ""answer"": ""Will we be *joined* by your other colleague too? ""}"
,"15. {""question"": ""When does the financial year *end*?"", ""answer"": ""It ends in *June*."", ""stress_category"": ""Highlight""}","15. {""question"": ""How did you go?"", ""answer"": ""We got a *lot* done today."", ""stress_category"": ""Emotion""}","15. {""question"": ""I'm glad you're on board with it, I thought this was something you'd find unproductive. "", ""answer"": ""No, I support this initiative and I will pass your feedback on to the managers.""}","15. {""question"": ""Hey Chiara, I just wanted to congratulate you, you really nailed this project!"", ""answer"": ""Thank you Sophie, I worked *so* hard and I'm glad that it paid off!""}","15. {""question"": ""If you're talking about Ms Thomson, yes she will also take part in the meeting."", ""answer"": ""Good, I heard she *specialized* in performance marketing and that's what I need help with.""}"
,"16. {""question"": ""What does the ""R"" in *HR* stand for?"", ""answer"": ""It stands for human *resources*."", ""stress_category"": ""Highlight""}","16. {""question"": ""Can I count on you for this project?"", ""answer"": ""One *hundred* percent."", ""stress_category"": ""Emotion""}","16. {""question"": ""I'd be happy to help with implementing it, if need be."", ""answer"": ""Great, I'll be grateful to have your advice on *it*. ""}","16. {""question"": ""You've clearly made progress, keep it up!"", ""answer"": ""That's all thanks to what you *taught* me.""}","16. {""question"": ""Perfect. Is there anything else I can do to prepare for our meeting?"", ""answer"": ""All good, no need for anything too *prepared* this time. Let's get to know each other first. ""}"
,"17. {""question"": ""Let's do a quick round of introductions."", ""answer"": ""Hello, my name is *Alex* and I work in sales."", ""stress_category"": ""Highlight""}",,,"17. {""question"": ""Anyway, have you seen the memo from HR?"", ""answer"": ""No, I was *focused* on my project and I missed it. What does it say?""}","17. {""question"": ""Okay. I won't hold you any longer Mr Miller, thank you and see you next week!"", ""answer"": ""Thank you Tom, I'm glad you *called*. Have a nice day!""}"
,"18. {""question"": ""We need to hire a new key account manager."", ""answer"": ""Would a *junior* candidate be a good fit?"", ""stress_category"": ""Highlight""}",,,"18. {""question"": ""They're looking for volunteers to work on a new task force."", ""answer"": ""Do you *know* what the taskforce would be working on?""}","18. {""question"": ""How do you think your negotiations went? "", ""answer"": ""I'm not sure to be honest. I felt confident at first but then their questions became confusing and I *started* panicking.""}"
,"19. {""question"": ""Hello, *who* is calling?"", ""answer"": ""Hello, this is *Alex* from Sales."", ""stress_category"": ""Highlight""}",,,"19. {""question"": ""The proposal is about improving wellbeing at work."", ""answer"": ""Sounds like it could be a good opportunity for career *growth*.""}","19. {""question"": ""Really? You seemed very confident!"", ""answer"": ""Are you sure? I felt like my answers were a bit too vague, I don't know if I *convinced* them.""}"
,"20. {""question"": ""Hi Alex, how can I *help* you?"", ""answer"": ""Can I speak with Mrs *Diaz*?"", ""stress_category"": ""Highlight""}",,,"20. {""question"": ""I know, right? You should go for it!"", ""answer"": ""I will. Thanks for letting me *know*!""}","20. {""question"": ""From an outside perspective your presentation and your answers were both spot on. "", ""answer"": ""It's very nice to hear, thank you. I've *worked* on this project for so long that I really wanted it to go well. ""}"
,"21. {""question"": ""Of course, just a *moment*."", ""answer"": ""Thank you *Lucy*."", ""stress_category"": ""Highlight""}",,,,"21. {""question"": ""And it did. I'm sure they'll take the deal you offered. "", ""answer"": ""I really hope so. The last project this client *funded* was a gamechanger!""}"
,"22. {""question"": ""Hi Alex, Mrs *Diaz* here. *How* are you?"", ""answer"": ""I'm good, how are *you*?"", ""stress_category"": ""Highlight""}",,,,"22. {""question"": ""That's awesome. All the more reason for it to go through."", ""answer"": ""Yes! Fingers *crossed*.""}"
,"23. {""question"": ""Great, thank *you*! *What* can I do for you?"", ""answer"": ""When are you *available* for a meeting?"", ""stress_category"": ""Highlight""}",,,,
,"24. {""question"": ""How about next *Tuesday*?"", ""answer"": ""Tuesday *morning* works for me."", ""stress_category"": ""Highlight""}",,,,
,"25. {""question"": ""Great! I'll send you an invite for *10 AM*."", ""answer"": ""I'll *lock* it in, thank you!"", ""stress_category"": ""Highlight""}",,,,
,"26. {""question"": ""Can you *copy* me on your email?"", ""answer"": ""Sure, I'll *CC* you in."", ""stress_category"": ""Highlight""}",,,,
,"27. {""question"": ""Hello, is Mr Kim *available* today?"", ""answer"": ""Of course, I'll put you *through*."", ""stress_category"": ""Highlight""}",,,,
,"28. {""question"": ""Is this a *good* time to chat?"", ""answer"": ""Yes, *hang* on."", ""stress_category"": ""Highlight""}",,,,
,"29. {""question"": ""My *number* is 02 45 82 98."", ""answer"": ""Sorry, would you mind *slowing* down?"", ""stress_category"": ""Highlight""}",,,,
,"30. {""question"": ""Can I speak to a customer service *representative*?"", ""answer"": ""Sure, can I put you on *hold* for a moment?"", ""stress_category"": ""Highlight""}",,,,
,"31. {""question"": ""Is *now* a good time?"", ""answer"": ""Not really, can I call you *back*?"", ""stress_category"": ""Highlight""}",,,,
,"32. {""question"": ""I'm sorry, Mrs Diaz *isn't* available at the moment."", ""answer"": ""Can I leave her a *message*?"", ""stress_category"": ""Highlight""}",,,,
,"33. {""question"": ""Which position are *you* applying for?"", ""answer"": ""I am applying for the *Analyst* role."", ""stress_category"": ""Highlight""}",,,,
